Tipologia_API;Zona;Data;Valore
sessionUploadTraffic;OWM Zona3;2022-05-02 00:00:00+02:00;1806184162.0
sessionUploadTraffic;OWM Zona2;2022-05-02 00:00:00+02:00;125217341.0
sessionUploadTraffic;OWM Zona1;2022-05-02 00:00:00+02:00;753555888.0
sessionUploadTraffic;OWM Zona9;2022-05-01 00:00:00+02:00;323635916.0
sessionUploadTraffic;OWM Zona8;2022-05-01 00:00:00+02:00;429454233.0
sessionUploadTraffic;OWM Zona7;2022-05-01 00:00:00+02:00;687767475.0
sessionUploadTraffic;OWM Zona6;2022-05-01 00:00:00+02:00;2601425260.0
sessionUploadTraffic;OWM Zona5;2022-05-01 00:00:00+02:00;218848402.0
sessionUploadTraffic;OWM Zona4;2022-05-01 00:00:00+02:00;696577985.0
sessionUploadTraffic;OWM Zona3;2022-05-01 00:00:00+02:00;838257711.0
sessionUploadTraffic;OWM Zona2;2022-05-01 00:00:00+02:00;332981815.0
sessionUploadTraffic;OWM Zona1;2022-05-01 00:00:00+02:00;478255284.0
sessionUploadTraffic;OWM Zona9;2022-04-30 00:00:00+02:00;1044113350.0
sessionUploadTraffic;OWM Zona8;2022-04-30 00:00:00+02:00;1128910657.0
sessionUploadTraffic;OWM Zona7;2022-04-30 00:00:00+02:00;209960509.0
sessionUploadTraffic;OWM Zona6;2022-04-30 00:00:00+02:00;3000807364.0
sessionUploadTraffic;OWM Zona5;2022-04-30 00:00:00+02:00;960449814.0
sessionUploadTraffic;OWM Zona4;2022-04-30 00:00:00+02:00;631467344.0
sessionUploadTraffic;OWM Zona3;2022-04-30 00:00:00+02:00;684093461.0
sessionUploadTraffic;OWM Zona2;2022-04-30 00:00:00+02:00;312215186.0
sessionUploadTraffic;OWM Zona1;2022-04-30 00:00:00+02:00;637670865.0
sessionUploadTraffic;OWM Zona9;2022-04-29 00:00:00+02:00;553470030.0
sessionUploadTraffic;OWM Zona8;2022-04-29 00:00:00+02:00;404913065.0
sessionUploadTraffic;OWM Zona7;2022-04-29 00:00:00+02:00;452974818.0
sessionUploadTraffic;OWM Zona6;2022-04-29 00:00:00+02:00;3093835575.0
sessionUploadTraffic;OWM Zona5;2022-04-29 00:00:00+02:00;613699697.0
sessionUploadTraffic;OWM Zona4;2022-04-29 00:00:00+02:00;551512436.0
sessionUploadTraffic;OWM Zona3;2022-04-29 00:00:00+02:00;1964879062.0
sessionUploadTraffic;OWM Zona2;2022-04-29 00:00:00+02:00;285181077.0
sessionUploadTraffic;OWM Zona1;2022-04-29 00:00:00+02:00;671420770.0
sessionUploadTraffic;OWM Zona9;2022-04-28 00:00:00+02:00;1361439405.0
sessionUploadTraffic;OWM Zona8;2022-04-28 00:00:00+02:00;379989851.0
sessionUploadTraffic;OWM Zona7;2022-04-28 00:00:00+02:00;634204120.0
sessionUploadTraffic;OWM Zona6;2022-04-28 00:00:00+02:00;1214047739.0
sessionUploadTraffic;OWM Zona5;2022-04-28 00:00:00+02:00;337524347.0
sessionUploadTraffic;OWM Zona4;2022-04-28 00:00:00+02:00;559069855.0
sessionUploadTraffic;OWM Zona3;2022-04-28 00:00:00+02:00;499280067.0
sessionUploadTraffic;OWM Zona2;2022-04-28 00:00:00+02:00;284579982.0
sessionUploadTraffic;OWM Zona1;2022-04-28 00:00:00+02:00;941013945.0
sessionUploadTraffic;OWM Zona9;2022-04-27 00:00:00+02:00;485507648.0
sessionUploadTraffic;OWM Zona8;2022-04-27 00:00:00+02:00;388304149.0
sessionUploadTraffic;OWM Zona7;2022-04-27 00:00:00+02:00;368485865.0
sessionUploadTraffic;OWM Zona6;2022-04-27 00:00:00+02:00;1208921081.0
sessionUploadTraffic;OWM Zona5;2022-04-27 00:00:00+02:00;263722753.0
sessionUploadTraffic;OWM Zona4;2022-04-27 00:00:00+02:00;522988317.0
sessionUploadTraffic;OWM Zona3;2022-04-27 00:00:00+02:00;912315998.0
sessionUploadTraffic;OWM Zona2;2022-04-27 00:00:00+02:00;334953859.0
sessionUploadTraffic;OWM Zona1;2022-04-27 00:00:00+02:00;1013166791.0
sessionUploadTraffic;OWM Zona9;2022-04-26 00:00:00+02:00;593744623.0
sessionUploadTraffic;OWM Zona8;2022-04-26 00:00:00+02:00;505468753.0
sessionUploadTraffic;OWM Zona7;2022-04-26 00:00:00+02:00;342997812.0
sessionUploadTraffic;OWM Zona6;2022-04-26 00:00:00+02:00;1805418854.0
sessionUploadTraffic;OWM Zona5;2022-04-26 00:00:00+02:00;337558836.0
sessionUploadTraffic;OWM Zona4;2022-04-26 00:00:00+02:00;307009394.0
sessionUploadTraffic;OWM Zona3;2022-04-26 00:00:00+02:00;1032868988.0
sessionUploadTraffic;OWM Zona2;2022-04-26 00:00:00+02:00;170830495.0
sessionUploadTraffic;OWM Zona1;2022-04-26 00:00:00+02:00;720300390.0
sessionUploadTraffic;OWM Zona9;2022-04-25 00:00:00+02:00;469539668.0
sessionUploadTraffic;OWM Zona8;2022-04-25 00:00:00+02:00;414396484.0
sessionUploadTraffic;OWM Zona7;2022-04-25 00:00:00+02:00;192447606.0
sessionUploadTraffic;OWM Zona6;2022-04-25 00:00:00+02:00;3706101996.0
sessionUploadTraffic;OWM Zona5;2022-04-25 00:00:00+02:00;448413436.0
sessionUploadTraffic;OWM Zona4;2022-04-25 00:00:00+02:00;510824944.0
sessionUploadTraffic;OWM Zona3;2022-04-25 00:00:00+02:00;1350078969.0
sessionUploadTraffic;OWM Zona2;2022-04-25 00:00:00+02:00;85188558.0
sessionUploadTraffic;OWM Zona1;2022-04-25 00:00:00+02:00;1494747231.0
sessionUploadTraffic;OWM Zona9;2022-04-24 00:00:00+02:00;509671960.0
sessionUploadTraffic;OWM Zona8;2022-04-24 00:00:00+02:00;654607172.0
sessionUploadTraffic;OWM Zona7;2022-04-24 00:00:00+02:00;163561175.0
sessionUploadTraffic;OWM Zona6;2022-04-24 00:00:00+02:00;7830687810.0
sessionUploadTraffic;OWM Zona5;2022-04-24 00:00:00+02:00;318230125.0
sessionUploadTraffic;OWM Zona4;2022-04-24 00:00:00+02:00;593762372.0
sessionUploadTraffic;OWM Zona3;2022-04-24 00:00:00+02:00;354689952.0
sessionUploadTraffic;OWM Zona2;2022-04-24 00:00:00+02:00;164227941.0
sessionUploadTraffic;OWM Zona1;2022-04-24 00:00:00+02:00;645550177.0
sessionUploadTraffic;OWM Zona9;2022-04-23 00:00:00+02:00;364467547.0
sessionUploadTraffic;OWM Zona8;2022-04-23 00:00:00+02:00;195663423.0
sessionUploadTraffic;OWM Zona7;2022-04-23 00:00:00+02:00;515168905.0
sessionUploadTraffic;OWM Zona6;2022-04-23 00:00:00+02:00;2197799444.0
sessionUploadTraffic;OWM Zona5;2022-04-23 00:00:00+02:00;233444231.0
sessionUploadTraffic;OWM Zona4;2022-04-23 00:00:00+02:00;455569014.0
sessionUploadTraffic;OWM Zona3;2022-04-23 00:00:00+02:00;949829788.0
sessionUploadTraffic;OWM Zona2;2022-04-23 00:00:00+02:00;150121980.0
sessionUploadTraffic;OWM Zona1;2022-04-23 00:00:00+02:00;810356841.0
sessionUploadTraffic;OWM Zona9;2022-04-22 00:00:00+02:00;466167411.0
sessionUploadTraffic;OWM Zona8;2022-04-22 00:00:00+02:00;452792388.0
sessionUploadTraffic;OWM Zona7;2022-04-22 00:00:00+02:00;318938219.0
