OBJECTID;Area;Funzionante;VIA___P_zza___Corso;Indirizzo;Civico;Città;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
383;Viale Umbria;SI;Viale;Umbria;62;MILANO;20135;4;28;UMBRIA - MOLISE - CALVAIRATE;9.21628000000004;45.454630000000066;(45.454630000000066, 9.21628000000004)
385;Parco Alessandrini;SI;Via;Monte Cimone ;1;MILANO;20137;4;29;ORTOMERCATO;9.225170000000048;45.44995000000006;(45.44995000000006, 9.225170000000048)
387;Piazzale Bologna;SI;Piazzale;Bologna;;MILANO;20137;4;29;ORTOMERCATO;9.228600000000029;45.45099000000005;(45.45099000000005, 9.228600000000029)
388;Piazzale Bologna;SI;Piazzale;Bologna;;MILANO;20139;4;35;LODI - CORVETTO;9.22443000000004;45.44465000000008;(45.44465000000008, 9.22443000000004)
389;Piazzale Bologna;SI;Piazzale;Bologna;;MILANO;20139;4;35;LODI - CORVETTO;9.223500000000058;45.445610000000045;(45.445610000000045, 9.223500000000058)
390;Piazzale Gabriele Rosa;SI;Piazzale;Gabriele Rosa;13;MILANO;20139;4;35;LODI - CORVETTO;9.224350000000072;45.43686000000008;(45.43686000000008, 9.224350000000072)
391;Piazzale Gabriele Rosa;SI;Piazzale;Gabriele Rosa;4;MILANO;20139;4;35;LODI - CORVETTO;9.224120000000028;45.437280000000044;(45.437280000000044, 9.224120000000028)
392;Corvetto;SI;Piazzale;Corvetto;1;MILANO;20139;4;35;LODI - CORVETTO;9.22374000000002;45.439940000000036;(45.439940000000036, 9.22374000000002)
393;Parco Pessina/altaguardia;SI;Via;Giulio Romano;14;MILANO;20135;5;27;PTA ROMANA;9.20085000000006;45.44872000000004;(45.44872000000004, 9.20085000000006)
394;Monte Velino - Varsavia;SI;Via;Cadibona;592;MILANO;20137;4;29;ORTOMERCATO;9.227510000000052;45.453640000000064;(45.453640000000064, 9.227510000000052)
395;F.lli Rosselli/Corvetto;SI;Via;Fratelli Rosselli;17;MILANO;20139;4;35;LODI - CORVETTO;9.22634000000005;45.441850000000045;(45.441850000000045, 9.22634000000005)
398;Fabio Massimo;SI;Via;Fabio Massimo;1;MILANO;20139;4;35;LODI - CORVETTO;9.229040000000055;45.436210000000074;(45.436210000000074, 9.229040000000055)
399;Fabio Massimo;SI;Via;Fabio Massimo;1;MILANO;20139;4;35;LODI - CORVETTO;9.229570000000024;45.436600000000055;(45.436600000000055, 9.229570000000024)
400;Fabio Massimo;SI;Via;Montemartini;6;MILANO;20139;4;35;LODI - CORVETTO;9.228360000000066;45.43581000000006;(45.43581000000006, 9.228360000000066)
401;Via Mincio/P.le Ferrara;SI;Piazzale;Ferrara;;MILANO;20139;4;35;LODI - CORVETTO;9.220160000000021;45.43899000000005;(45.43899000000005, 9.220160000000021)
402;Via Mincio/P.le Ferrara;SI;Via;Mincio;26;MILANO;20139;4;35;LODI - CORVETTO;9.219960000000071;45.43805000000003;(45.43805000000003, 9.219960000000071)
403;Piazza San Luigi;SI;Piazza;San Luigi;1;MILANO;20139;4;35;LODI - CORVETTO;9.213660000000061;45.44372000000004;(45.44372000000004, 9.213660000000061)
404;Piazza Assunta;SI;Via;dell'Assunta;14;MILANO;20141;5;38;VIGENTINO - Q.RE FATIMA;9.202830000000063;45.433730000000025;(45.433730000000025, 9.202830000000063)
405;Piazzale Madonna di Fatima;SI;Via;dei Guarneri;14;MILANO;20141;5;38;VIGENTINO - Q.RE FATIMA;9.203550000000064;45.43008000000003;(45.43008000000003, 9.203550000000064)
406;Piazzale Madonna di Fatima;SI;Via;Val di Sole;22;MILANO;20141;5;38;VIGENTINO - Q.RE FATIMA;9.202830000000063;45.433530000000076;(45.433530000000076, 9.202830000000063)
407;Parco Dudovich/Dini/Abbiategrasso;SI;Via;Ulisse Dini;7;MILANO;20142;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.179670000000044;45.42945000000003;(45.42945000000003, 9.179670000000044)
409;Via dei Missaglia 46/3;SI;Via;Fabrizio de Andrè;;MILANO;20142;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.17563000000007;45.42288000000008;(45.42288000000008, 9.17563000000007)
410;Piazza Remo Cantoni Bugatti;SI;Via ;Nicola Romeo;7;MILANO;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.180000000000064;45.418450000000064;(45.418450000000064, 9.180000000000064)
411;Via Gratosoglio 63;SI;Via;Gratosoglio ;63;MILANO;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.171150000000068;45.412990000000036;(45.412990000000036, 9.171150000000068)
412;Giardini Saponaro 30/36;SI;Via;Saponaro;30;MILANO;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.17330000000004;45.40650000000005;(45.40650000000005, 9.17330000000004)
413;Giardini Saponaro 30/36;SI;Via;Saponaro;12;MILANO;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.174140000000023;45.41010000000006;(45.41010000000006, 9.174140000000023)
415;Q.re Basmetto;SI;Largo ;Giovanni Muzio;;MILANO;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.16471000000007;45.41330000000005;(45.41330000000005, 9.16471000000007)
416;Q.re Basmetto;SI;Via ;Gianluigi Banfi;11;MILANO;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.165460000000053;45.41494000000006;(45.41494000000006, 9.165460000000053)
417;Q.re Sant'Ambrogio;SI;Via;San Paolino;2;MILANO;20142;6;46;BARONA;9.164430000000038;45.433940000000064;(45.433940000000064, 9.164430000000038)
418;Q.re Sant'Ambrogio;SI;Via;San Paolino;;MILANO;20142;6;46;BARONA;9.161610000000053;45.43139000000008;(45.43139000000008, 9.161610000000053)
419;Q.re Sant'Ambrogio;SI;Via;San Paolino;;MILANO;20142;6;46;BARONA;9.162550000000067;45.43169000000006;(45.43169000000006, 9.162550000000067)
421;Q.re Sant'Ambrogio;SI;Via;San Paolino;18;MILANO;20142;6;46;BARONA;9.162960000000055;45.431440000000066;(45.431440000000066, 9.162960000000055)
422;Q.re Sant'Ambrogio;SI;Via;San Paolino;18;MILANO;20142;6;46;BARONA;9.16297000000003;45.43147000000005;(45.43147000000005, 9.16297000000003)
425;Giardino Condiviso;SI;Via;Bussola;;MILANO;20143;6;45;MONCUCCO - SAN CRISTOFORO;9.157770000000028;45.44533000000007;(45.44533000000007, 9.157770000000028)
426;Piazzale Luigi  Negrelli;SI;Piazzale;Luigi Negrelli;;MILANO;20143;6;48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;9.138860000000022;45.44389000000007;(45.44389000000007, 9.138860000000022)
427;Parco Teramo;SI;Via;Davide Campari;9;MILANO;20142;6;46;BARONA;9.144910000000039;45.43514000000005;(45.43514000000005, 9.144910000000039)
428;Via Barona 51;SI;Via;Barona;51;MILANO;20142;6;46;BARONA;9.149290000000065;45.433020000000056;(45.433020000000056, 9.149290000000065)
429;Via Barona 51;SI;Via;Barona;75;MILANO;20142;6;46;BARONA;9.149360000000058;45.43201000000005;(45.43201000000005, 9.149360000000058)
430;Via Barona 51;SI;Via ;Boffalora;118;MILANO;20142;6;46;BARONA;9.150650000000041;45.43223000000006;(45.43223000000006, 9.150650000000041)
431;Piscina Argelati;SI;Via ;Segantini;6;MILANO;20143;6;44;PORTA TICINESE - CONCHETTA;9.172260000000051;45.44918000000007;(45.44918000000007, 9.172260000000051)
434;Via Monte Rosa - ATM;SI;Via;Monterosa;89;MILANO;20149;7;58;DE ANGELI - MONTE ROSA;9.146280000000047;45.477190000000064;(45.477190000000064, 9.146280000000047)
435;Via Monte Rosa - ATM;SI;Via;Monterosa;89;MILANO;20149;7;58;DE ANGELI - MONTE ROSA;9.14608000000004;45.47702000000004;(45.47702000000004, 9.14608000000004)
436;Precotto - ATM;SI;Via;Anassagora;11;MILANO;20128;2;16;GORLA - PRECOTTO;9.232880000000023;45.51875000000007;(45.51875000000007, 9.232880000000023)
437;Piazza Materno/Durante;SI;Piazza;San Materno;1;MILANO;20131;3;20;LORETO - CASORETTO - NOLO;9.226530000000025;45.48893000000004;(45.48893000000004, 9.226530000000025)
438;Piazza Materno/Durante;SI;Piazza;Durante;18;MILANO;20131;3;20;LORETO - CASORETTO - NOLO;9.22431000000006;45.48885000000007;(45.48885000000007, 9.22431000000006)
439;Buenos Aires - Piazza Argentina;SI;Via;Nicola Piccinni;1;MILANO;20131;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21398000000005;45.483040000000074;(45.483040000000074, 9.21398000000005)
440;Loreto/Mercadante;SI;Via;Saverio Mercadante;17;MILANO;20131;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.214910000000032;45.48380000000003;(45.48380000000003, 9.214910000000032)
